detail_id,Product ID,terms,section,season,material
BAWPO4,185102,jackets,MAN,Winter,Polyester
TUACO5,188771,jackets,MAN,Autumn,Cotton
SLAPO6,180176,jackets,WOMAN,Autumn,Polyester
STSPO7,112917,jackets,MAN,Spring,Polyester
DOWWO8,192936,jackets,WOMAN,Winter,Wool Blend
COACO9,117590,jackets,WOMAN,Autumn,Cotton
FAWAC10,189118,jackets,MAN,Winter,Acrylic
SUSCO11,182157,jackets,WOMAN,Summer,Cotton
10WWO12,141861,jackets,WOMAN,Winter,Wool
10AWO13,137121,jackets,MAN,Autumn,Wool Blend
HEWWO14,113143,jackets,WOMAN,Winter,Wool
OVAPO15,140028,jackets,WOMAN,Autumn,Polyester
LEACO16,134693,jackets,MAN,Autumn,Cotton
CRAVI17,151396,jackets,WOMAN,Autumn,Viscose
FASPO18,132889,jackets,WOMAN,Spring,Polyester
FASWO19,152174,jackets,WOMAN,Spring,Wool Blend
FAACO20,129906,jackets,WOMAN,Autumn,Cotton
DEACO21,195879,jackets,WOMAN,Autumn,Cotton
BOWPO22,155050,jackets,MAN,Winter,Polyester
SUSLI23,194410,jackets,WOMAN,Spring,Linen
JASDE24,141904,jackets,WOMAN,Spring,Denim
PAADE25,124981,jackets,WOMAN,Autumn,Denim
LESWO26,161909,jackets,WOMAN,Spring,Wool Blend
LIAWO27,129152,jackets,MAN,Autumn,Wool Blend
SUAPO28,183243,jackets,WOMAN,Autumn,Polyester
FAAPO29,198248,jackets,MAN,Autumn,Polyester
PAACO30,191230,jackets,WOMAN,Autumn,Cotton
STSCO31,187234,jackets,WOMAN,Spring,Cotton
RIAWO32,148888,jackets,WOMAN,Autumn,Wool Blend
FAAVI33,110805,jackets,MAN,Autumn,Viscose
COACO34,179801,jackets,MAN,Autumn,Cotton
PAWVI35,134927,jackets,WOMAN,Winter,Viscose
CRAPO36,123150,jackets,MAN,Autumn,Polyester
FAWWO37,159145,jackets,WOMAN,Winter,Wool
FAAVI38,172364,jackets,WOMAN,Autumn,Viscose
BOSPO39,178281,jackets,WOMAN,Spring,Polyester
FAAVI40,194339,jackets,WOMAN,Autumn,Viscose
FASVI41,174412,jackets,WOMAN,Spring,Viscose
SUSPO42,114877,jackets,WOMAN,Spring,Polyester
COWVI43,140727,jackets,WOMAN,Winter,Viscose
TESCO44,133109,jackets,WOMAN,Spring,Cotton
CRSCO45,127296,jackets,MAN,Spring,Cotton
POAWO46,133757,jackets,WOMAN,Autumn,Wool
TESWO47,111760,jackets,MAN,Spring,Wool Blend
FASPO48,198375,jackets,WOMAN,Spring,Polyester
FAAPO49,168837,jackets,MAN,Autumn,Polyester
RIACO50,138505,jackets,WOMAN,Autumn,Cotton
TEWPO51,116228,jackets,WOMAN,Winter,Polyester
FAAVI52,167592,jackets,WOMAN,Autumn,Viscose
PUAWO53,133100,jackets,MAN,Autumn,Wool
BOAPO54,119955,jackets,MAN,Autumn,Polyester
TESCO55,189349,jackets,WOMAN,Spring,Cotton
STSCO56,127478,jackets,WOMAN,Spring,Cotton
HOWWO57,180661,jackets,MAN,Winter,Wool Blend
LIAAC58,186681,jackets,WOMAN,Autumn,Acrylic
COAPO59,133183,jackets,WOMAN,Autumn,Polyester
POAVI60,173508,jackets,MAN,Autumn,Viscose
OVACO61,187930,jackets,WOMAN,Autumn,Cotton
EMAVI62,124088,jackets,WOMAN,Autumn,Viscose
ACSDE63,190238,jackets,MAN,Spring,Denim
VIACO64,151925,jackets,WOMAN,Autumn,Cotton
TESDE65,163234,jackets,WOMAN,Spring,Denim
WOWWO66,135610,jackets,MAN,Winter,Wool Blend
COSCO67,117065,jackets,WOMAN,Spring,Cotton
FLACO68,149315,jackets,WOMAN,Autumn,Cotton
ZIAVI69,149510,jackets,WOMAN,Autumn,Viscose
COAPO70,137990,jackets,MAN,Autumn,Polyester
WOWWO71,154016,jackets,WOMAN,Winter,Wool
COSVI72,117751,jackets,MAN,Spring,Viscose
CRSCO73,182362,jackets,WOMAN,Spring,Cotton
COSCO74,117725,jackets,WOMAN,Spring,Cotton
UTACO75,145289,jackets,WOMAN,Autumn,Cotton
LISWO76,173576,jackets,WOMAN,Spring,Wool Blend
WOWWO77,175059,jackets,WOMAN,Winter,Wool
TEAPO78,199368,jackets,MAN,Autumn,Polyester
MIWPO79,162883,jackets,MAN,Winter,Polyester
COSCO80,135490,jackets,WOMAN,Spring,Cotton
PAWPO81,125408,jackets,WOMAN,Winter,Polyester
TEAWO82,134763,jackets,WOMAN,Autumn,Wool Blend
POACO83,143231,jackets,WOMAN,Autumn,Cotton
BOSDE84,125409,jackets,WOMAN,Spring,Denim
FAACO85,183074,jackets,WOMAN,Autumn,Cotton
EMACO86,147947,jackets,MAN,Autumn,Cotton
POSLI87,174171,jackets,WOMAN,Summer,Linen
BOWWO88,183064,jackets,MAN,Winter,Wool
COAAC89,177131,jackets,MAN,Autumn,Acrylic
LOWWO90,128179,jackets,WOMAN,Winter,Wool Blend
WOAWO91,152723,jackets,WOMAN,Autumn,Wool Blend
HOAAC92,123824,jackets,MAN,Autumn,Acrylic
HOAPO93,166345,jackets,WOMAN,Autumn,Polyester
HOAVI94,199279,jackets,WOMAN,Autumn,Viscose
BOWWO95,167981,jackets,WOMAN,Winter,Wool Blend
HOAWO96,146839,jackets,WOMAN,Autumn,Wool Blend
HOAVI97,187180,jackets,WOMAN,Autumn,Viscose
WASPO98,167640,jackets,WOMAN,Spring,Polyester
WAACO99,165158,jackets,MAN,Autumn,Cotton
10AWO100,111521,jackets,WOMAN,Autumn,Wool Blend
PAWCO101,120228,jackets,WOMAN,Winter,Cotton
POAPO102,133078,jackets,WOMAN,Autumn,Polyester
SLAPO103,137598,jackets,MAN,Autumn,Polyester
MIWVI104,138779,jackets,WOMAN,Winter,Viscose
HOACO105,198329,jackets,WOMAN,Autumn,Cotton
WAAVI106,110295,jackets,MAN,Autumn,Viscose
WOAWO107,196427,jackets,WOMAN,Autumn,Wool Blend
PRSLI108,110075,jackets,WOMAN,Spring,Linen
STWWO109,132322,jackets,MAN,Winter,Wool
COSCO110,199631,jackets,WOMAN,Summer,Cotton
REACO111,182306,jackets,WOMAN,Autumn,Cotton
PLSLI112,194915,jackets,WOMAN,Summer,Linen
POSLI113,131298,jackets,MAN,Summer,Linen
10SLI114,168571,jackets,WOMAN,Summer,Linen
PLWCO115,154224,jackets,WOMAN,Winter,Cotton
POSLI116,171061,jackets,WOMAN,Spring,Linen Blend
FAAPO117,119049,jackets,MAN,Autumn,Polyester
PLAVI118,158781,jackets,MAN,Autumn,Viscose
TEWPO119,151438,jackets,MAN,Winter,Polyester
POAWO120,152871,jackets,WOMAN,Autumn,Wool Blend
OVACO121,126806,jackets,WOMAN,Autumn,Cotton
PLACO122,134104,jackets,WOMAN,Autumn,Cotton
POAVI123,120266,jackets,WOMAN,Autumn,Viscose
ZIWWO124,173550,jackets,MAN,Winter,Wool Blend
GESLI125,175927,jackets,WOMAN,Summer,Linen
PAAPO126,154278,jackets,WOMAN,Autumn,Polyester
PAAPO127,183537,jackets,WOMAN,Autumn,Polyester
PLSCO128,150424,jackets,WOMAN,Summer,Cotton
OVSLI129,183825,jackets,WOMAN,Spring,Linen
QUWPO130,144012,jackets,MAN,Winter,Polyester
TEWVI131,147051,jackets,WOMAN,Winter,Viscose
PLSCO132,185800,jackets,MAN,Summer,Cotton
SUSCO133,197524,shoes,WOMAN,Spring,Cotton
ZISCO134,148823,shoes,WOMAN,Spring,Cotton
SUSCO135,114550,shoes,MAN,Summer,Cotton
MUWPO136,125398,shoes,WOMAN,Winter,Polyester
REAPO137,123985,shoes,WOMAN,Autumn,Polyester
SUWPO138,186638,shoes,WOMAN,Winter,Polyester
SUSPO139,167281,shoes,MAN,Summer,Polyester
MUAPO140,118578,shoes,WOMAN,Autumn,Polyester
TOWCO141,174041,shoes,MAN,Winter,Cotton
RESVI142,127644,shoes,MAN,Summer,Viscose
RESCO143,132007,shoes,WOMAN,Summer,Cotton
MUAVI144,147998,shoes,MAN,Autumn,Viscose
TASVI145,176666,shoes,WOMAN,Spring,Viscose
MOSCO146,193686,shoes,WOMAN,Summer,Cotton
STSCO147,163610,shoes,WOMAN,Summer,Cotton
SUSCO148,170364,shoes,WOMAN,Spring,Cotton
HISVI149,167599,shoes,WOMAN,Spring,Viscose
SUSCO150,166421,shoes,WOMAN,Summer,Cotton
FASVI151,129247,shoes,WOMAN,Summer,Viscose
CHSPO152,127314,shoes,WOMAN,Summer,Polyester
DOSVI153,111979,shoes,MAN,Summer,Viscose
CHSCO154,120354,shoes,MAN,Summer,Cotton
SUAVI155,144848,shoes,WOMAN,Autumn,Viscose
ADSPO156,111957,shoes,WOMAN,Summer,Polyester
MUACO157,160763,shoes,MAN,Autumn,Cotton
CHSLI158,168270,shoes,MAN,Summer,Linen
COAPO159,195082,shoes,MAN,Autumn,Polyester
SUSCO160,110329,shoes,WOMAN,Spring,Cotton
WOSVI161,147449,shoes,WOMAN,Summer,Viscose
SUSVI162,193332,shoes,MAN,Summer,Viscose
ASAWO163,146804,sweaters,WOMAN,Autumn,Wool Blend
KNWWO164,188909,sweaters,MAN,Winter,Wool Blend
HIWAC165,165910,sweaters,WOMAN,Winter,Acrylic
STAWO166,136738,sweaters,WOMAN,Autumn,Wool
CAWWO167,144497,sweaters,MAN,Winter,Wool Blend
ASWWO168,135036,sweaters,WOMAN,Winter,Wool
WOWWO169,166331,sweaters,WOMAN,Winter,Wool Blend
ALWWO170,139789,sweaters,MAN,Winter,Wool
MOAWO171,118569,sweaters,WOMAN,Autumn,Wool Blend
CAWPO172,155848,sweaters,WOMAN,Winter,Polyester
ALWWO173,152563,sweaters,MAN,Winter,Wool Blend
OVWWO174,115153,sweaters,MAN,Winter,Wool Blend
WOAWO175,125938,sweaters,WOMAN,Autumn,Wool
SOWWO176,122809,sweaters,WOMAN,Winter,Wool
FAAWO177,181502,sweaters,WOMAN,Autumn,Wool
MEWWO178,182779,sweaters,WOMAN,Winter,Wool Blend
KNWAC179,155674,sweaters,WOMAN,Winter,Acrylic
JEAWO180,182866,sweaters,MAN,Autumn,Wool Blend
KNWWO181,148230,sweaters,WOMAN,Winter,Wool Blend
FIWWO182,126979,sweaters,MAN,Winter,Wool Blend
KNAWO183,135521,sweaters,MAN,Autumn,Wool Blend
GAWAC184,185809,sweaters,MAN,Winter,Acrylic
KNAWO185,171520,sweaters,WOMAN,Autumn,Wool Blend
BAWWO186,122926,sweaters,WOMAN,Winter,Wool
COAPO187,150953,sweaters,WOMAN,Autumn,Polyester
STAPO188,115873,sweaters,WOMAN,Autumn,Polyester
