Product ID,name,price,Product Category,Product Position,Sales Volume,brand_id
185102,BASIC PUFFER JACKET,78.99,clothing,Aisle,1243,ZABRA4
188771,TUXEDO JACKET,14.99,clothing,Aisle,1429,ZATUR5
180176,SLIM FIT SUIT JACKET,71.95,clothing,End-cap,1168,ZAMOR6
112917,STRETCH SUIT JACKET,30.99,clothing,Aisle,1348,ZACHI7
192936,DOUBLE FACED JACKET,22.99,clothing,End-cap,1602,ZACHI8
117590,CONTRASTING COLLAR JACKET,25.95,clothing,End-cap,1282,ZATUR9
189118,FAUX LEATHER PUFFER JACKET,87.99,clothing,Front of Store,688,ZACHI10
182157,SUIT JACKET IN 100% LINEN,24,clothing,Aisle,1711,ZAPOR11
141861,100% WOOL SUIT JACKET,32.95,clothing,Aisle,857,ZAIND12
137121,100% FEATHER FILL PUFFER JACKET,39.95,clothing,Aisle,769,ZACHI13
113143,HERRINGBONE TEXTURED JACKET,22.99,clothing,Aisle,1696,ZACHI14
140028,OVERSIZED CROPPED JACKET LIMITED EDITION,15.95,clothing,Aisle,1538,ZAPOR15
134693,LEATHER BIKER JACKET,49.99,clothing,Aisle,822,ZAPOR16
151396,CROPPED LEATHER JACKET,69.99,clothing,Front of Store,840,ZABAN17
132889,FAUX LEATHER BOXY FIT JACKET,28.99,clothing,Aisle,1569,ZACHI18
152174,FAUX LEATHER JACKET,29.99,clothing,End-cap,952,ZAIND19
129906,FAUX SUEDE BOMBER JACKET,29.99,clothing,Aisle,915,ZAPOR20
195879,DENIM BOMBER JACKET,25.99,clothing,Front of Store,1522,ZAIND21
155050,BOUCLÉ TEXTURED JACKET,77.99,clothing,Aisle,1305,ZAMOR22
194410,SUIT JACKET IN 100% LINEN,49.99,clothing,End-cap,840,ZABAN23
141904,JACQUARD DENIM JACKET,25.95,clothing,End-cap,997,ZACHI24
124981,PADDED DENIM JACKET,79.99,clothing,Front of Store,857,ZABAN25
161909,LEATHER JACKET,39.99,clothing,Aisle,982,ZAVIE26
